,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),MeanTemperature,Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date
163,Ang Mo Kio,2014,6,13,0,0,0,0,29.9,33.3,27.7,5.4,23,6/13/2014
164,Ang Mo Kio,2014,6,14,6,5.4,5.8,5.8,27.7,30.3,23,4.3,48.6,6/14/2014
165,Ang Mo Kio,2014,6,15,0.4,0.4,0.4,0.4,29.4,32.5,27,5,22,6/15/2014
166,Ang Mo Kio,2014,6,16,0,0,0,0,30.4,33.4,28.4,6.2,25.6,6/16/2014
167,Ang Mo Kio,2014,6,17,0,0,0,0,30.5,34.5,28.5,7.2,27.7,6/17/2014
168,Ang Mo Kio,2014,6,18,1,1,1,1,29,33.2,23.8,7.5,43.6,6/18/2014
169,Ang Mo Kio,2014,6,19,11.8,11.4,11.8,11.8,29.3,33.7,23.7,5.8,42.5,6/19/2014
170,Ang Mo Kio,2014,6,20,0,0,0,0,30.7,34.8,28.6,6.9,24.1,6/20/2014
171,Ang Mo Kio,2014,6,21,0,0,0,0,31.1,34.5,28.6,6.5,26.6,6/21/2014
172,Ang Mo Kio,2014,6,22,3.2,3,3.2,3.2,30.1,33.5,26.9,6,30.2,6/22/2014
173,Ang Mo Kio,2014,6,23,0,0,0,0,30.2,33.4,27.6,5.3,28.1,6/23/2014
174,Ang Mo Kio,2014,6,24,16.8,8.8,9.2,16.8,29.5,33.1,23.4,5,43.9,6/24/2014
175,Ang Mo Kio,2014,6,25,7.2,7.2,7.2,7.2,28.8,32.3,22.8,6.5,40,6/25/2014
176,Ang Mo Kio,2014,6,26,0,0,0,0,29.7,33.7,27.3,6,27,6/26/2014
177,Ang Mo Kio,2014,6,27,0,0,0,0,27.8,29.7,25.8,6.5,34.9,6/27/2014
178,Ang Mo Kio,2014,6,28,0,0,0,0,29,31.5,26.6,4.8,19.4,6/28/2014
179,Ang Mo Kio,2014,6,29,16,15.8,15.8,15.8,29.1,31.9,22.3,4.5,48.6,6/29/2014
180,Ang Mo Kio,2014,6,30,4.4,4.2,4.4,4.4,27.3,30.4,23.9,5.3,32,6/30/2014
181,Ang Mo Kio,2014,7,1,0,0,0,0,28.3,32.9,25.5,4,27.7,7/1/2014
182,Ang Mo Kio,2014,7,2,0,0,0,0,28.8,32.5,25.3,4.9,26.6,7/2/2014
183,Ang Mo Kio,2014,7,3,0,0,0,0,28.9,31.7,26.3,4.6,25.2,7/3/2014
184,Ang Mo Kio,2014,7,4,1,0.6,0.6,0.6,28.4,30.2,26.6,4.5,34.6,7/4/2014
185,Ang Mo Kio,2014,7,5,26.2,15.2,24.4,26.2,27.6,30.2,22.8,4.9,31,7/5/2014
186,Ang Mo Kio,2014,7,6,0,0,0,0,28.8,32.1,26.4,4.1,26.6,7/6/2014
187,Ang Mo Kio,2014,7,7,9.2,4.8,7.6,9.2,28.4,32.1,23.6,5.8,34.2,7/7/2014
188,Ang Mo Kio,2014,7,8,34.6,31.2,33.6,34,28.1,31.8,22.4,5.9,36.4,7/8/2014
189,Ang Mo Kio,2014,7,9,19.2,16,17.6,18.6,27.2,28.6,21.8,5.6,49,7/9/2014
190,Ang Mo Kio,2014,7,10,1.2,1,1.2,1.2,28.6,31.7,26.9,6,26.3,7/10/2014
191,Ang Mo Kio,2014,7,11,6,2,3.2,5,27.6,32.1,24.8,4.2,20.9,7/11/2014
192,Ang Mo Kio,2014,7,12,0,0,0,0,27.4,30.4,24.3,5.8,30.2,7/12/2014
193,Ang Mo Kio,2014,7,13,0,0,0,0,29.3,33.2,27,6.7,25.2,7/13/2014
194,Ang Mo Kio,2014,7,14,0,0,0,0,30.4,33.4,28,5.8,24.1,7/14/2014
195,Ang Mo Kio,2014,7,15,0,0,0,0,29.7,33.1,28.3,7.3,26.3,7/15/2014
196,Ang Mo Kio,2014,7,16,0,0,0,0,29.4,32.9,27,6.8,24.5,7/16/2014
197,Ang Mo Kio,2014,7,17,5.4,5.2,5.2,5.4,27.8,30.8,22.7,4.9,24.5,7/17/2014
198,Ang Mo Kio,2014,7,18,0,0,0,0,29.5,32.5,27.5,6,27,7/18/2014
199,Ang Mo Kio,2014,7,19,0.2,0.2,0.2,0.2,29.2,32.2,27.5,6.8,34.9,7/19/2014
200,Ang Mo Kio,2014,7,20,0,0,0,0,29.7,33.4,26.9,5.5,27.4,7/20/2014
201,Ang Mo Kio,2014,7,21,0,0,0,0,29.9,33.1,27.8,6.9,29.5,7/21/2014
202,Ang Mo Kio,2014,7,22,0,0,0,0,29.7,32.1,28,7.4,30.6,7/22/2014
203,Ang Mo Kio,2014,7,23,0,0,0,0,29.7,31.9,28,7,26.6,7/23/2014
204,Ang Mo Kio,2014,7,24,0,0,0,0,29.6,32.2,27.8,7,27.7,7/24/2014
205,Ang Mo Kio,2014,7,25,0,0,0,0,30,34.1,27.7,7.5,25.9,7/25/2014
206,Ang Mo Kio,2014,7,26,0,0,0,0,30.1,33.9,28.1,8.1,26.3,7/26/2014
207,Ang Mo Kio,2014,7,27,18.2,15.8,17.4,18,28.2,32.2,22.5,6,37.4,7/27/2014
208,Ang Mo Kio,2014,7,28,0,0,0,0,29.3,32.6,27.5,6,29.9,7/28/2014
209,Ang Mo Kio,2014,7,29,16.6,8.4,8.6,8.6,27.3,31.2,23,6,56.5,7/29/2014
210,Ang Mo Kio,2014,7,30,3.4,1.2,2.2,2.4,27.1,31.3,26,4.5,36.4,7/30/2014
211,Ang Mo Kio,2014,7,31,5.2,5,5,5,27.6,29.8,24,5.6,31.3,7/31/2014
212,Ang Mo Kio,2014,8,1,0,0,0,0,28.9,32.7,26.9,5.8,22.7,8/1/2014
213,Ang Mo Kio,2014,8,2,12.8,11.6,12.6,12.6,28.6,31.3,23.7,6.9,30.6,8/2/2014
214,Ang Mo Kio,2014,8,3,0,0,0,0,28.8,31.7,25.9,6.6,31.7,8/3/2014
215,Ang Mo Kio,2014,8,4,0,0,0,0,29,31.8,26.9,6.2,30.6,8/4/2014
216,Ang Mo Kio,2014,8,5,4,2.2,2.8,2.8,26.6,28.6,23.5,6.9,36.4,8/5/2014
217,Ang Mo Kio,2014,8,6,2.2,2.2,2.2,2.2,27.9,30,25.7,4.8,28.8,8/6/2014
218,Ang Mo Kio,2014,8,7,0,0,0,0,28,31.7,26.6,5.8,32.4,8/7/2014
219,Ang Mo Kio,2014,8,8,0,0,0,0,28,30.3,26.4,5.3,29.9,8/8/2014
220,Ang Mo Kio,2014,8,9,0,0,0,0,28.8,32.4,27,9,38.2,8/9/2014
221,Ang Mo Kio,2014,8,10,3,2.8,2.8,2.8,28.2,31.2,24.5,6.5,32,8/10/2014
222,Ang Mo Kio,2014,8,11,4.6,3.2,3.8,4.4,27.6,30.9,24.6,5.3,30.6,8/11/2014
223,Ang Mo Kio,2014,8,12,7.4,4.4,6.2,7.4,27,29.3,23.6,5.1,24.1,8/12/2014
224,Ang Mo Kio,2014,8,13,1.2,0.4,0.6,1,26.2,27.7,24.6,4.2,23.4,8/13/2014
225,Ang Mo Kio,2014,8,14,4,1.6,3.2,4,26.7,29.9,24.9,5.3,30.6,8/14/2014
226,Ang Mo Kio,2014,8,15,60.2,37.2,46.2,46.2,25.7,28.1,22.9,3.8,33.5,8/15/2014
227,Ang Mo Kio,2014,8,16,0,0,0,0,27.7,31.5,24.6,4.7,26.3,8/16/2014
228,Ang Mo Kio,2014,8,17,0,0,0,0,28.4,31.4,26.1,6.9,31,8/17/2014
229,Ang Mo Kio,2014,8,18,0,0,0,0,28.8,32.7,26.9,7.7,32.8,8/18/2014
230,Ang Mo Kio,2014,8,19,0,0,0,0,28.1,31.9,25.1,6,29.2,8/19/2014
231,Ang Mo Kio,2014,8,20,1.4,1.2,1.2,1.4,27.8,31.6,25.6,5.3,40.7,8/20/2014
232,Ang Mo Kio,2014,8,21,24,15,15.8,24,27.5,31.5,23.8,5.1,32.8,8/21/2014
233,Ang Mo Kio,2014,8,22,0.6,0.6,0.6,0.6,28.2,32,25.5,7.7,41.4,8/22/2014
234,Ang Mo Kio,2014,8,23,0,0,0,0,28.6,32.4,26.6,6.9,28.4,8/23/2014
235,Ang Mo Kio,2014,8,24,4.6,4.4,4.4,4.4,27.4,30.7,25.5,4.3,24.5,8/24/2014
236,Ang Mo Kio,2014,8,25,14.6,8.6,9.8,10.4,26.3,30.9,23.9,3.7,46.4,8/25/2014
237,Ang Mo Kio,2014,8,26,3.4,2.4,2.6,2.8,26.8,30.9,23.4,5,23.8,8/26/2014
238,Ang Mo Kio,2014,8,27,13.4,7.6,9.4,12.8,26.9,30.4,22.9,6,29.9,8/27/2014
