,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),MeanTemperature,Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date
239,Tuas South,2014,8,28,8,2.6,4.4,6.4,27,28.8,23.8,6,53.3,2014-08-28
240,Tuas South,2014,8,29,0,0,0,0,27.7,30.8,25.4,7,23,2014-08-29
241,Tuas South,2014,8,30,0,0,0,0,28.2,32.2,25.4,3.9,21.6,2014-08-30
242,Tuas South,2014,8,31,0,0,0,0,28.8,31.7,27.2,4.2,25.2,2014-08-31
243,Tuas South,2014,9,1,0,0,0,0,29.6,33.2,26.6,5.3,22,2014-09-01
244,Tuas South,2014,9,2,0,0,0,0,29.3,32.7,26.6,6.2,31,2014-09-02
245,Tuas South,2014,9,3,4.6,3,3.6,4.6,26.9,31.7,23.5,3.8,34.6,2014-09-03
246,Tuas South,2014,9,4,0,0,0,0,28.1,31.4,24.9,5.5,17.6,2014-09-04
247,Tuas South,2014,9,5,0.2,0.2,0.2,0.2,27.8,29.7,24.2,8.6,49,2014-09-05
248,Tuas South,2014,9,6,0,0,0,0,27.8,29.2,24.7,12.4,41.8,2014-09-06
249,Tuas South,2014,9,7,0,0,0,0,28.7,31.6,26.2,4.6,18,2014-09-07
250,Tuas South,2014,9,8,0,0,0,0,29.2,32.4,26.7,4.9,18.7,2014-09-08
251,Tuas South,2014,9,9,0.8,0.8,0.8,0.8,28.7,31.1,26.7,6.1,35.3,2014-09-09
252,Tuas South,2014,9,10,0,0,0,0,29.1,32.2,27.1,7.2,40.3,2014-09-10
253,Tuas South,2014,9,11,32.8,25.4,30.2,32.6,27.4,31.9,22.9,5.2,42.1,2014-09-11
254,Tuas South,2014,9,12,0,0,0,0,28.6,32.3,25.1,5.9,24.5,2014-09-12
255,Tuas South,2014,9,13,0,0,0,0,29.3,32,27.6,7,29.2,2014-09-13
256,Tuas South,2014,9,14,0,0,0,0,29.3,31,27.5,7.3,26.3,2014-09-14
257,Tuas South,2014,9,15,0,0,0,0,29.4,32.6,27.1,8,29.9,2014-09-15
